,title,max_players,genres,publisher,sales_metric,price,review_raiting,console,age_raiting,year
0,Super Mario 64 DS,1,Action,Nintendo,4.69,24.95,85,Nintendo DS,E,2004
1,Lumines: Puzzle Fusion,1,Strategy,Ubisoft,0.56,14.95,89,Sony PSP,E,2004
2,WarioWare Touched!,2,"Action,Racing / Driving,Sports",Nintendo,0.54,22.95,81,Nintendo DS,E,2004
3,Hot Shots Golf: Open Tee,1,Sports,Sony,0.49,12.95,81,Sony PSP,E,2004
4,Spider-Man 2,1,Action,Activision,0.45,14.95,61,Nintendo DS,E,2004
5,The Urbz: Sims in the City,1,Simulation,EA,0.41,12.95,67,Nintendo DS,M,2004
6,Ridge Racer,1,Racing / Driving,Namco,0.36,19.95,88,Sony PSP,E,2004
7,Metal Gear Ac!d,1,Strategy,Konami,0.34,17.95,75,Sony PSP,E,2004
8,Madden NFL 2005,1,Sports,EA,0.25,8.95,68,Nintendo DS,T,2004
9,Pokmon Dash,1,Racing / Driving,Nintendo,0.22,24.95,46,Nintendo DS,T,2004
10,Dynasty Warriors,1,"Action,Adventure,Role-Playing (RPG)",,0.2,14.95,62,Sony PSP,E,2004
11,Feel the Magic XY/XX,1,"Action,Adventure,Racing / Driving,Sports",Sega,0.16,8.95,75,Nintendo DS,T,2004
12,Ridge Racer DS,1,Racing / Driving,Namco,0.15,9.95,63,Nintendo DS,E,2004
13,Darkstalkers Chronicle: The Chaos Tower,1,Action,Capcom,0.14,14.95,74,Sony PSP,E,2004
14,Ape Escape Academy,4,"Action,Sports",Sony,0.13,14.95,51,Sony PSP,E,2004
15,Polarium,1,Strategy,Nintendo,0.12,8.95,73,Nintendo DS,E,2004
16,Asphalt: Urban GT,1,"Racing / Driving,Simulation",Ubisoft,0.11,14.95,60,Nintendo DS,E,2004
17,Zoo Keeper,1,Action,,0.1,14.95,74,Nintendo DS,T,2004
18,Mr. DRILLER: Drill Spirits,1,Action,Namco,0.09,14.95,72,Nintendo DS,T,2004
19,Sprung,1,Adventure,Ubisoft,0.06,8.95,48,Nintendo DS,E,2004
20,Armored Core: Formula Front - Extreme Battle,1,"Action,Strategy",,0.05,16.95,66,Sony PSP,E,2004
21,Puyo Pop Fever,1,"Action,Strategy",Sega,0.04,19.95,76,Nintendo DS,E,2004
22,Mario Kart DS,1,Racing / Driving,Nintendo,9.99,29.95,91,Nintendo DS,E,2005
23,Nintendogs,1,Simulation,Nintendo,9.72,26.95,83,Nintendo DS,E,2005
24,Brain Age: Train Your Brain in Minutes a Day!,1,Action,Nintendo,5.07,17.95,77,Nintendo DS,M,2005
25,Brain Agey: More Training in Minutes a Day!,1,Action,Nintendo,3.65,17.95,77,Nintendo DS,E,2005
26,Grand Theft Auto: Liberty City Stories,1,"Action,Racing / Driving","Capcom,Rockstar",2.97,17.95,88,Sony PSP,E,2005
27,Animal Crossing: Wild World,1,Simulation,Nintendo,2.6,24.95,86,Nintendo DS,T,2005
28,Big Brain Academy,1,Action,Nintendo,1.77,16.95,74,Nintendo DS,E,2005
29,Call of Duty 2,4,Action,"Activision,Konami",1.69,17.95,89,X360,E,2005
30,Midnight Club 3: DUB Edition,1,Racing / Driving,Rockstar,1.69,14.95,74,Sony PSP,T,2005
31,Need for Speed: Most Wanted 5-1-0,1,Racing / Driving,EA,1.67,14.95,72,Sony PSP,M,2005
32,Pokmon Mystery Dungeon: Blue Rescue Team,1,Role-Playing (RPG),Nintendo,1.22,14.95,62,Nintendo DS,T,2005
33,Sonic Rush,1,Action,Sega,1.2,14.95,82,Nintendo DS,E,2005
34,Star Wars: Battlefront II,1,Action,,1.09,16.95,69,Sony PSP,E,2005
35,SOCOM: U.S. Navy SEALs - Fireteam Bravo,1,Action,Sony,1.07,14.95,82,Sony PSP,E,2005
36,Need for Speed: Most Wanted,2,Racing / Driving,EA,0.95,17.95,83,X360,E,2005
